County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Westmoreland County, VA",107.8809902,1,3,0,15,38,165,9,6,17612,4.055555555555555,4.0,1.5555555555555556,18,38.04116550340296,-76.90464292110934
"Watonwan County, MN",107.748945,0,3,0,9,24,116,7,2,11137,3.590909090909091,4.0,1.125,11,43.990311236003734,-94.62166684295929
"Logan County, OH",107.7372969,0,20,7,22,409,923,24,1,45481,3.7,4.0,1.5106382978723405,50,40.388536498375714,-83.78447160101892
"Turner County, SD",107.6426265,0,0,0,9,23,18,7,0,8361,3.87,4.0,1.7777777777777777,50,43.509069335085364,-96.799801731194
"Poquoson city, VA",107.4025116,0,0,2,11,25,134,6,4,12104,3.9,4.0,1.553191489361702,50,37.072201049149925,-76.36805273953095
"Whitman County, WA",107.36525659999998,1,16,6,27,186,501,17,8,46570,4.17,4.0,1.6734693877551021,50,46.73739767543946,-117.15066399784342
"Clarke County, IA",107.2386059,0,1,0,9,34,105,8,1,9325,3.1,3.5,1.1818181818181819,15,41.03046415352065,-93.77806031061027
"Barnes County, ND",107.2386059,0,3,0,9,37,125,5,1,11190,3.4210526315789473,3.5,1.6,19,46.92032044980996,-98.01221902802321
"Gogebic County, MI",106.8107565,1,4,0,12,32,239,5,4,15916,4.2,4.0,1.6521739130434783,50,46.27256304938416,-89.7846871161175
"Clinton County, NY",106.6294077,0,15,6,66,274,1296,39,7,81591,4.4,4.5,1,5,44.70202438040004,-73.66071926910907
"Jackson County, WI",106.5684945,0,6,3,13,59,301,10,0,20644,3.5,3.5,1.3478260869565217,35,44.309331135686456,-90.82649758822475
"Coos County, NH",106.2599619,2,8,6,18,97,400,9,4,31997,4.36,4.5,1.8,50,44.37477806339369,-71.4861992626384
"Gallatin County, KY",106.2072221,0,1,1,7,60,43,10,2,8474,3.525,4.0,1.7777777777777777,20,38.816273930817445,-84.84702748349139
"Cheyenne County, CO",105.8201058,0,0,0,2,3,15,2,1,1890,4.0285714285714285,4.5,1.0952380952380953,35,39.178368882566076,-102.3969095819902
"Grayson County, VA",105.5339358,1,2,1,12,35,129,17,6,15161,4.0,4.0,1,9,36.6318893853466,-81.1518839355226
"Vinton County, OH",105.4534498,2,3,2,7,141,195,12,1,13276,3.2222222222222223,3.5,1.1666666666666667,18,39.21459448294443,-82.5220676296594
"Clay County, MO",105.4353438,8,30,32,173,526,2000,268,25,230473,4.01,4.0,1.56,50,39.24546484230912,-94.44730274939127
"Brooke County, WV",105.3208072,0,3,3,19,95,204,22,2,23737,3.97,4.0,1.5277777777777777,50,40.33858613188511,-80.62240029130466
"Hoke County, NC",105.2180352,0,0,23,30,503,368,17,21,51322,2.9545454545454546,3.0,1.0952380952380953,33,34.99572674840487,-79.21061423272569
"Alleghany County, VA",105.1915104,1,2,1,13,67,179,4,4,16161,3.789473684210526,4.0,1.44,38,37.77487788343134,-79.9384987526444
